sample,antibiotic,Unc05qi6,Unc06af7,Unc06bhm,Unc06g1h,Unc06grq,Unc09fy6
D1,Antibiotic-free,0,11,79,108,791,0
D2,Antibiotic-free,0,31,1413,192,1616,0
D3,Antibiotic-free,0,23,915,165,1323,0
D4,Antibiotic-free,0,31,1366,170,1846,0
D5,Antibiotic-free,0,26,689,135,2314,0
D6,Antibiotic-free,0,175,776,310,2244,0
D7,Antibiotic-free,0,181,609,235,1652,0
D8,Antibiotic-free,1,3,470,30,347,0
D9,Antibiotic-free,0,121,309,159,837,1
D10,Antibiotic-free,0,48,74,56,500,0
D11,Antibiotic-free,0,0,160,59,1371,0
D12,Antibiotic,0,3,1230,38,424,0
D13,Antibiotic,0,85,1156,123,576,0
D14,Antibiotic,0,4,2744,68,103,0
D15,Antibiotic,0,1183,25,1605,5,1
D16,Antibiotic,0,104,95,2365,45,0
D17,Post-Antibiotic,0,53,65,691,26,0
D18,Post-Antibiotic,0,494,43,1672,5,0
D19,Post-Antibiotic,0,1216,189,1662,23,1
D20,Post-Antibiotic,0,610,369,1077,31,0
D21,Post-Antibiotic,0,1209,416,1584,266,0
D22,Post-Antibiotic,0,1516,657,2026,1015,1
D23,Post-Antibiotic,0,487,946,804,449,0
D24,Antibiotic-free,0,100,1337,184,844,0
D25,Antibiotic-free,0,159,444,311,1555,0
D26,Antibiotic-free,0,292,1062,522,834,0
D27,Antibiotic-free,0,254,1236,476,722,0
D28,Antibiotic-free,0,367,300,622,902,0
D29,Antibiotic-free,0,177,679,268,715,0
D30,Antibiotic-free,0,40,628,75,710,0
D31,Antibiotic-free,0,90,566,158,1023,0
D32,Antibiotic-free,0,44,638,65,605,0
D33,Antibiotic-free,1,395,437,577,3398,0
D34,Antibiotic-free,0,339,405,480,3045,0
D35,Antibiotic-free,0,41,598,284,1810,0
D36,Antibiotic-free,0,200,982,322,1769,1
D37,Antibiotic-free,0,236,1086,307,2032,0
D38,Antibiotic-free,0,36,994,262,1621,0
D39,Antibiotic-free,0,34,826,227,1310,0
D40,Antibiotic,0,320,461,439,3033,0
D41,Antibiotic,0,40,486,258,1698,0
D42,Antibiotic,0,249,1680,266,774,0
D43,Antibiotic,0,0,10,0,1,0
D44,Antibiotic,0,2,2,31,12,0
D45,Post-Antibiotic,0,0,3,52,20,0
D46,Post-Antibiotic,0,663,2,1041,605,0
D47,Post-Antibiotic,0,76,0,632,396,4
D48,Post-Antibiotic,0,1289,139,1865,2164,0
D49,Post-Antibiotic,0,565,151,815,1945,1
D50,Post-Antibiotic,3,55,112,356,1036,3
D51,Post-Antibiotic,0,268,334,751,713,5
D52,Antibiotic-free,0,60,276,201,1715,0
D53,Antibiotic-free,0,154,364,384,2183,0
D54,Antibiotic-free,0,17,400,143,1777,0
D55,Antibiotic-free,0,24,307,90,2231,0
D56,Antibiotic-free,0,101,339,342,3623,0
E1,Antibiotic-free,869,534,270,390,1100,1362
E2,Antibiotic-free,432,421,141,297,1964,2146
E3,Antibiotic-free,990,455,194,351,982,1134
E4,Antibiotic-free,358,502,162,381,822,2465
E5,Antibiotic-free,987,478,220,375,769,2536
E6,Antibiotic-free,1188,534,211,477,940,2633
E7,Antibiotic-free,450,477,228,479,1129,1718
E8,Antibiotic-free,575,632,247,461,1318,1043
E9,Antibiotic-free,593,305,152,328,757,2359
E10,Antibiotic-free,805,560,185,543,2014,1182
E11,Antibiotic-free,420,930,241,650,2896,6136
E12,Antibiotic,279,373,120,272,1233,3097
E13,Antibiotic,571,624,165,596,1210,2301
E14,Antibiotic,866,3111,297,1795,86,192
E15,Antibiotic,100,3280,459,2982,0,12
E16,Antibiotic,241,5782,831,3824,1,19
E17,Post-Antibiotic,456,6510,1130,3912,3,3
E18,Post-Antibiotic,84,2164,278,1214,1,207
E19,Post-Antibiotic,142,1496,190,979,1,4252
E20,Post-Antibiotic,91,1238,110,1217,73,3827
E21,Antibiotic-free,299,429,97,303,264,3309
E22,Antibiotic-free,2626,96,21,42,46,535
E23,Antibiotic-free,419,216,95,164,520,2077
E24,Antibiotic-free,92,356,43,221,939,1255
E25,Antibiotic-free,582,205,101,141,526,4258
E26,Antibiotic-free,2550,88,72,61,833,1710
E27,Antibiotic-free,242,189,66,133,429,2177
E28,Antibiotic-free,892,167,63,100,614,2802
E29,Antibiotic-free,724,201,47,107,428,2706
E30,Antibiotic-free,701,221,951,1837,947,6175
E31,Antibiotic-free,2552,295,687,2455,1058,10970
E32,Antibiotic-free,577,268,45,234,547,2270
E33,Antibiotic-free,197,467,45,450,1269,748
E34,Antibiotic-free,85,331,56,247,963,1244
E35,Antibiotic-free,503,193,46,155,744,2654
E36,Antibiotic-free,110,257,33,169,1123,3226
E37,Antibiotic,280,242,57,146,1469,2801
E38,Antibiotic,329,408,74,406,1189,1441
E39,Antibiotic,942,905,107,540,248,1042
E40,Antibiotic,631,1378,129,1365,1,322
E41,Antibiotic,286,638,191,445,0,3805
E42,Post-Antibiotic,157,467,57,308,0,2436
E43,Post-Antibiotic,124,877,41,519,1,2003
E44,Post-Antibiotic,756,779,68,758,0,2422
E45,Post-Antibiotic,194,1041,39,665,0,5215
E46,Post-Antibiotic,268,902,46,890,0,3551
E47,Post-Antibiotic,299,447,71,311,4,2742
E48,Antibiotic-free,3082,204,118,118,6,4184
E49,Antibiotic-free,756,462,64,384,1293,3674
E50,Antibiotic-free,1017,354,122,211,1278,3826
E51,Antibiotic-free,850,526,172,382,1479,2201
E52,Antibiotic-free,1280,128,109,128,490,2522
F1,Antibiotic-free,50,0,608,0,1277,352
F2,Antibiotic-free,13,0,512,0,1002,816
F3,Antibiotic-free,138,0,745,0,2524,892
F4,Antibiotic-free,21,0,520,0,2504,194
F5,Antibiotic-free,174,0,362,1,1510,180
F6,Antibiotic-free,147,0,549,0,1708,261
F7,Antibiotic-free,235,1,952,4,2034,357
F8,Antibiotic-free,128,0,797,0,1938,165
F9,Antibiotic-free,206,0,674,0,1699,220
F10,Antibiotic-free,389,0,895,1,1973,120
F11,Antibiotic-free,159,0,863,0,2223,297
F12,Antibiotic,16,0,465,0,969,124
F13,Antibiotic,31,0,1222,0,985,280
F14,Antibiotic,27,0,78,0,90,3339
F15,Antibiotic,0,0,0,0,2,5331
F16,Antibiotic,0,0,0,0,105,2782
F17,Post-Antibiotic,0,0,0,0,125,3163
F18,Post-Antibiotic,0,0,0,0,344,1928
F19,Post-Antibiotic,0,0,0,0,1311,948
F20,Post-Antibiotic,6,0,0,0,3425,941
F21,Post-Antibiotic,63,0,0,0,4064,1047
F22,Post-Antibiotic,89,0,0,0,2889,1131
F23,Post-Antibiotic,89,0,0,0,3283,2197
F24,Antibiotic-free,18,0,30,0,756,1962
F25,Antibiotic-free,127,0,81,1,72,2503
F26,Antibiotic-free,105,0,5,0,2262,800
F27,Antibiotic-free,5,0,483,0,1344,1193
F28,Antibiotic-free,6,0,1123,0,1796,267
F29,Antibiotic-free,57,0,14,0,1453,1564
F30,Antibiotic-free,12,0,2070,0,1102,256
F31,Antibiotic-free,37,0,2654,0,1081,10
F32,Antibiotic-free,34,0,2345,0,1355,7
F33,Antibiotic-free,113,0,1180,0,1097,52
F34,Antibiotic-free,77,0,2057,0,276,68
F35,Antibiotic-free,84,0,1471,1,781,66
F36,Antibiotic-free,157,0,1607,0,630,26
F37,Antibiotic-free,127,0,2136,0,373,47
F38,Antibiotic-free,89,0,2131,0,819,119
F39,Antibiotic-free,13,0,1255,0,1060,26
F40,Antibiotic-free,13,0,2914,1,259,41
F41,Antibiotic,14,0,1910,3,306,19
F42,Antibiotic,77,0,1555,1,2201,269
F43,Antibiotic,12,0,521,0,2792,806
F44,Antibiotic,4,0,18,0,3354,736
F45,Post-Antibiotic,6,0,7,0,3827,1112
F46,Post-Antibiotic,1,0,10,0,2333,856
F47,Post-Antibiotic,6,0,46,0,1603,882
F48,Post-Antibiotic,26,0,161,0,2570,873
F49,Post-Antibiotic,22,0,777,0,2268,529
F50,Post-Antibiotic,48,0,227,0,2709,980
F51,Post-Antibiotic,34,0,330,1,2092,764
F52,Antibiotic-free,77,0,1476,0,3081,461
F53,Antibiotic-free,12,0,500,1,4768,143
F54,Antibiotic-free,58,1,852,1,4593,422
